,Time (sec),PT1 (psi),PT2 (psi),V (V),I (A),Flow Rate (GPM)
200,34.661,-0.4501,-0.6582,0.2091,0.0248,0.0
201,34.93,-0.4416,-0.666,0.2085,0.0228,0.0
202,35.2,-0.4636,-0.6452,0.205,0.0233,0.0
203,35.47,-0.4382,-0.6403,0.2104,0.0229,0.0
204,35.74,-0.5044,-0.697,0.2074,0.0251,0.0
205,36.011,-0.4823,-0.7136,0.2151,0.0238,0.0
206,36.282,-0.4738,-0.681,0.2026,0.0242,0.0
207,36.553,-0.4619,-0.6168,0.2117,0.0242,0.0
208,36.825,-0.4535,-0.6712,0.2117,0.0231,0.0
209,37.096,-0.4619,-0.6843,0.2074,0.0233,0.0
210,37.368,-0.4723,-0.6957,0.2109,0.022,0.0
211,37.64,-0.4484,-0.6435,0.214,0.0221,0.0
212,37.912,-0.445,-0.5621,0.2102,0.0234,0.0
213,38.184,-0.4361,-0.6615,0.2175,0.0238,0.0
214,38.457,-0.4552,-0.6598,0.21,0.0238,0.0
215,38.73,-0.4602,-0.6587,0.207,0.0237,0.0
216,39.003,-0.4585,-0.6663,0.2144,0.023,0.0
217,39.277,-0.4297,-0.6496,0.2062,0.0229,0.0
218,39.552,-0.4535,-0.643,0.2062,0.0236,0.0
219,39.826,-0.4314,-0.5409,0.2048,0.0235,0.0
220,40.1,-0.4628,-0.6615,0.2074,0.022,0.0
221,40.375,-0.445,-0.6566,0.205,0.0234,0.0
222,40.651,-0.4365,-0.5849,0.2159,0.0236,0.0
223,40.927,-0.4382,-0.6647,0.2089,0.0248,0.0
224,41.202,-0.4348,-0.6606,0.2043,0.0222,0.0
225,41.478,-0.4552,-0.6611,0.2148,0.0234,0.0
226,41.754,-0.445,-0.6642,0.2074,0.0211,0.0
227,42.031,-0.4399,-0.6549,0.2113,0.023,0.0
228,42.308,-0.445,-0.6533,0.2023,0.0244,0.0
229,42.586,-0.4331,-0.6566,0.2132,0.0235,0.0
230,42.863,-0.4416,-0.6058,0.2074,0.0228,0.0
231,43.141,-0.4416,-0.6533,0.2201,0.0239,0.0
232,43.419,-0.4755,-0.6715,0.205,0.0212,0.0
233,43.697,-0.4535,-0.5819,0.2093,0.0225,0.0
234,43.975,-0.4416,-0.6642,0.2066,0.0229,0.0
235,44.253,-0.4348,-0.6484,0.2179,0.0229,0.0
