,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM)
345,82.281778,41.6215,35.7906,5.8309,3180.4458,25.8268,77.38243919999996,77.38243919999996,11.4079,0.11,6.5812325187091005,3400.0,35.12,25.28094417695663,3182.9868062032765,8.4,2.390285155455291,2.2008,1.4387,59.990814308037145,25.77264736331706,16.41254573,0.42960989379109366,0.6368203273273526,11.86067826362431,41.7012325187091,35.56384391355877,2.2008,1.5621852760477284,25.72846479527169
346,82.510684,41.6868,35.7093,5.977499999999999,3162.2087,25.8264,75.56441519999996,75.56441519999996,11.4444,0.118,6.549288452034332,3400.0,35.12,25.2985396312317,3178.0233647891946,8.4,2.390285155455291,2.2008,1.3997,61.636829351990954,25.022832702180303,16.01872668,0.405972094367181,0.6401643998764476,11.841832675371043,41.66928845203433,35.548428160446974,2.2008,1.5675844142888482,25.74069200373443
347,82.752148,41.707,35.6348,6.072200000000002,3162.2087,25.8264,75.96065119999996,75.96065119999996,11.4742,0.11,6.514880495261451,3400.0,35.12,25.31645131468706,3173.557111779862,8.4,2.3619816407520595,2.2008,1.4082,62.700714841762895,25.154044557818153,16.157968439999998,0.40117636013080776,0.6423606511016505,11.826266367746332,41.63488049526145,35.53414201015951,2.2008,1.5735820174224835,25.752038542187073
348,82.981468,41.5268,35.3782,6.148600000000002,3161.3447,25.8748,76.46876559999997,76.46876559999997,11.435,0.117,6.483896988244368,3400.0,35.12,25.33438712466161,3169.4695373754753,8.4,2.3619816407520595,2.2008,1.4191,63.67812602215481,25.315385735908027,16.227408500000003,0.3975523043360342,0.6410097270207741,11.81184145952352,41.603896988244365,35.525291673401995,2.2008,1.579916095597509,25.762419837168185
349,83.225987,41.6416,35.4313,6.210299999999997,3161.3447,25.8748,77.61551919999997,77.61551919999997,11.2685,0.11,6.461068130761895,3400.0,35.12,25.351616851225245,3165.602474910764,8.4,2.3619816407520595,2.2008,1.4437,64.37257956704427,25.695024526991652,16.26833345,0.3991610201084173,0.6331316567886802,11.796340205072585,41.58106813076189,35.524790526468024,2.2008,1.5860298560477426,25.77177501607729
350,83.45443,41.3752,35.3757,5.999499999999998,3138.236,25.833,77.73672079999996,77.73672079999996,11.2978,0.118,6.448937621607094,3400.0,35.12,25.36814250721323,3161.84136183262,8.4,2.3619816407520595,2.2008,1.4463,61.89979792409294,25.54703095386413,16.34000814,0.4127159023231737,0.6396049767782694,11.778010593700841,41.56893762160709,35.53281826306943,2.2008,1.5913036944650372,25.780068239381464
351,83.694892,41.539,35.556,5.983000000000004,3138.236,25.833,76.72515359999997,76.72515359999997,11.2614,0.108,6.447361384235769,3400.0,35.12,25.38578184817244,3158.183062378823,8.4,2.3619816407520595,2.2008,1.4246,61.71438507744736,25.214594258511354,16.04299044,0.40856915655675335,0.6362581239864521,11.755662104973466,41.56736138423577,35.54657816800763,2.2008,1.5953082314958507,25.787288993845593
352,83.924866,41.5897,35.636,5.953699999999998,3127.5541,25.6326,77.10740479999997,77.10740479999997,11.2554,0.122,6.4537161602506785,3400.0,35.12,25.409578870600743,3154.7971050596525,8.4,2.332193275787989,2.2008,1.4328,60.90894041751172,25.253962696359523,16.12673712,0.414618322421167,0.6385824400669107,11.72860526291098,41.573716160250676,35.56142910768677,2.2008,1.5979353839878918,25.79345066210433
353,84.171179,41.6251,35.5981,6.027000000000001,3127.5541,25.6326,78.58513199999996,78.58513199999996,11.1688,0.109,6.463894450476836,3400.0,35.12,25.449450927122385,3152.0667446287757,8.4,2.332193275787989,2.2008,1.4645,61.72623320909899,25.737943031075645,16.356707599999996,0.4169692802068091,0.6355095113953406,11.696698660740767,41.58389445047683,35.57281734765013,2.2008,1.5993642868874294,25.7985866138423
354,84.401211,41.5555,35.6372,5.918300000000002,3115.674,25.6985,76.53402799999996,76.53402799999996,11.0786,0.12,6.473771165558482,3400.0,35.12,25.49105583612344,3149.4759638933288,8.4,2.332193275787989,2.2008,1.4205,60.6698102335719,24.970957677043298,15.7371513,0.41158786521513646,0.6302181719873616,11.660378724085437,41.59377116555848,35.577976246354446,2.2008,1.599954933325225,25.802743824738663
355,84.641468,41.7155,35.7826,5.9328999999999965,3115.674,25.6985,79.05129199999996,79.05129199999996,11.1374,0.109,6.4804267958147435,3400.0,35.12,25.492803128792346,3145.448316826756,8.4,2.332193275787989,2.2008,1.4745,60.833018316672124,25.792271992369084,16.4220963,0.4239847488432176,0.6367060763339751,11.620489928992665,41.60042679581474,35.57664400509538,2.2008,1.600151369091298,25.805975806352016
356,84.871749,41.6642,35.5615,6.102699999999999,3104.7766,25.8532,77.19131359999997,77.19131359999997,11.0969,0.118,6.482696133413597,3400.0,35.12,25.47274099197906,3140.2882457980786,8.4,2.332193275787989,2.2008,1.4346,63.10878007551098,25.097323323086954,15.919612740000002,0.39768354408146506,0.6343151632172502,11.578033909513472,41.602696133413595,35.57080595568784,2.2008,1.6003968388152543,25.80833750450034
357,85.110909,41.674,35.614,6.060000000000002,3104.7766,25.8532,77.65747359999997,77.65747359999997,11.207,0.108,6.481146744243112,3400.0,35.12,25.445999183002854,3134.3897204642385,8.4,2.299833978361323,2.2008,1.4446,62.628578904881024,25.248886597433028,16.189632200000002,0.40315279444198326,0.64120182636671,11.534103388436984,41.60114674424311,35.56380234894738,2.2008,1.6010566461377418,25.8098836264553
358,85.345396,41.6825,35.7203,5.962199999999996,3099.3337,25.9544,79.07926159999997,79.07926159999997,11.0032,0.112,6.4776435210901155,3400.0,35.12,25.42709210969971,3128.3225200710763,8.4,2.299833978361323,2.2008,1.4751,61.76957564919531,25.666081053524113,16.23082032,0.4155133135329945,0.6323840513926612,11.490016657681261,41.59764352109011,35.559094716062724,2.2008,1.6023583140413304,25.810670224054928
359,85.580517,41.5567,35.6103,5.946399999999997,3099.3337,25.9544,81.23758239999997,81.23758239999997,10.923,0.108,6.474589061405126,3400.0,35.12,25.41724555977807,3122.3397000883533,8.4,2.299833978361323,2.2008,1.5214,61.59119443570335,26.366588815881705,16.6182522,0.42809023363569404,0.6302769128022404,11.447321602888092,41.594589061405124,35.559198851402044,2.2008,1.604386810064551,25.810758384904243
360,85.810244,41.6196,35.5205,6.0991,3080.4511,25.9853,79.61068399999996,79.61068399999996,10.8953,0.116,6.474046214930112,3400.0,35.12,25.407613834438827,3116.237153972167,8.4,2.299833978361323,2.2008,1.4865,63.390549683259074,25.68113961308444,16.19586345,0.405125681058207,0.6306520541537133,11.407379661018213,41.59404621493011,35.56519452466481,2.2008,1.6071788614365865,25.8102185278943
361,86.045465,41.6868,35.683,6.003799999999998,3080.4511,25.9853,79.92767279999997,79.92767279999997,10.979,0.108,6.477061567108038,3400.0,35.12,25.39326187860601,3109.9330518755714,8.4,2.299833978361323,2.2008,1.4933,62.313336476501945,25.78339515492332,16.3949407,0.41377009502044737,0.635872064229268,11.370775670225992,41.597061567108035,35.576657540012256,2.2008,1.6108386301259736,25.809133995583828
