,Time (sec),DP1 (psi),PT1 (psi),PT2 (psi),Torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),GV Angle (deg)
156,73.111,8.0955,7.4666,5.3943,374.6921,6.5736,14.7916,3600.0,14.5926,0.0
157,73.531,8.0754,5.482,1.4768,356.532,6.1024,14.1369,3600.0,14.5926,0.0
158,73.951,6.0012,-3.4214,-5.2201,269.2377,4.9949,12.4079,3600.0,14.5926,0.0
159,74.373,5.4638,-2.4693,-3.4375,413.3027,6.0168,13.4403,3600.0,14.5926,0.0
160,74.796,8.6822,8.6543,6.6817,473.453,7.716,12.5025,3600.0,14.5926,0.0
161,75.215,6.6432,1.6515,-0.0927,409.0407,5.1718,12.421,3000.0,14.5926,0.0
162,75.635,5.1134,-4.663,-6.2725,345.0217,5.0556,11.8902,3600.0,14.5926,0.0
163,76.056,6.2271,-0.5161,-1.8844,270.406,5.4516,12.1832,3600.0,14.5926,0.0
164,76.478,8.5078,8.1609,5.4687,473.922,6.0705,14.3974,3600.0,14.5926,0.0
165,76.898,7.3079,2.5491,-0.5503,367.3351,4.5628,11.8804,3600.0,17.0247,0.0
166,77.32,5.0662,-4.8138,-6.3858,392.6818,5.0109,9.4987,3600.0,14.5926,0.0
167,77.741,6.8036,2.3036,1.2439,309.5103,6.1956,13.6341,3600.0,14.5926,0.0
168,78.16,8.7232,8.4312,5.0513,440.4602,6.8629,15.144,3600.0,14.5926,0.0
169,78.579,7.87,5.8193,4.4553,540.2482,7.2245,15.4494,3600.0,14.5926,0.0
170,78.998,7.1177,1.5657,-1.4703,372.2375,6.0357,13.6291,3600.0,14.5926,0.0
171,79.419,5.409,-4.2314,-6.26,255.234,5.0581,12.0101,3600.0,14.5926,0.0
172,79.841,7.092,3.9919,2.8572,452.5718,5.7013,13.1698,3600.0,14.5926,0.0
173,80.261,8.6032,8.2602,5.8547,418.0664,6.6974,14.7917,3600.0,14.5926,0.0
174,80.681,6.6213,-0.2458,-1.7905,419.693,6.1458,13.573,3600.0,17.0247,0.0
175,81.103,5.7241,-3.5503,-5.87,260.4359,5.1739,11.9635,3600.0,14.5926,0.0
176,81.524,7.3779,5.0766,3.1136,490.262,6.91,14.4526,3600.0,14.5926,0.0
177,81.943,8.8707,9.074,6.5582,472.4117,5.9692,14.3871,3600.0,14.5926,0.0
178,82.363,7.657,3.7526,0.5633,462.0146,6.3856,14.3073,3600.0,14.5926,0.0
179,82.783,5.8491,-2.7376,-5.0575,275.2933,5.5616,12.7028,3600.0,14.5926,0.0
180,83.205,6.4305,0.0229,-1.198,331.5165,5.9579,13.4094,3600.0,14.5926,0.0
181,83.627,8.7436,8.6825,6.3035,544.3707,7.5533,15.5507,3600.0,14.5926,0.0
182,84.046,7.5826,4.4683,2.1779,377.0386,6.2488,14.1591,3000.0,14.5926,0.0
183,84.465,5.4458,-3.1277,-4.9114,228.2595,4.8171,11.721,3600.0,14.5926,0.0
184,84.887,5.86,-1.6546,-3.729,305.9106,5.7061,12.2987,3600.0,14.5926,0.0
185,85.309,8.5079,8.2063,6.4336,486.3039,6.785,14.912,3600.0,14.5926,0.0
186,85.729,7.7816,4.205,1.0789,310.1304,5.4822,13.5233,3600.0,14.5926,0.0
187,86.149,5.7016,-3.2747,-6.6065,251.7726,4.7938,11.7225,3600.0,14.5926,0.0
188,86.572,6.3025,1.0472,-0.0776,296.4538,5.9106,13.6069,3600.0,14.5926,0.0
189,86.992,8.766,8.8176,5.2453,419.4077,6.7865,15.1135,3600.0,14.5926,0.0
190,87.411,8.2045,4.726,3.3076,411.6005,6.3799,14.5031,3600.0,14.5926,0.0
191,87.83,6.0191,-1.2431,-3.3785,359.1482,4.4193,12.0929,3600.0,17.0247,0.0
192,88.252,5.4345,-3.4242,-5.5139,263.457,4.9308,11.6788,3600.0,14.5926,0.0
193,88.674,8.3074,6.5079,5.0968,435.0878,7.0778,15.2517,3600.0,14.5926,0.0
