,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi)
142,44.662,36.3188,29.8265,120.9744,8.699300000000001,2.5131,2841.3576,28.6658,6.492300000000004
143,44.996,36.6842,30.3519,115.577,8.552100000000001,2.4598,2931.2141,26.9326,6.3322999999999965
144,45.333,36.6786,30.2066,115.0863,8.574200000000001,2.4955,2877.6979,28.2059,6.472000000000001
145,45.668,36.4901,30.3214,114.2522,8.907200000000001,2.4993,2754.8208,26.8691,6.168699999999998
146,46.013,36.6782,30.043,115.3731,8.580200000000001,2.4421,2899.0175,27.9906,6.6351999999999975
147,46.349,36.5333,30.276,116.3245,8.9017,2.4969,2854.1528,27.1007,6.257299999999997
148,46.691,36.5688,30.4571,114.7214,8.5616,2.4529,2847.2902,27.8411,6.111700000000003
149,47.03,36.4308,30.2132,117.9016,8.7954,2.4562,2874.8483,27.1723,6.217599999999997
150,47.372,36.429,29.7681,114.0697,8.6545,2.4892,2942.7153,28.4279,6.660900000000002
151,47.707,36.435,30.4979,112.8185,8.979600000000001,2.4724,2815.4914,27.5125,5.937100000000001
152,48.05,36.3429,29.9242,113.001,8.930800000000001,2.4952,2906.2258,28.1396,6.418700000000001
153,48.388,36.58,30.2229,114.1479,8.897,2.4440999999999997,2851.9821,27.2261,6.357099999999999
154,48.732,36.5487,30.0481,113.9996,8.6773,2.4633,2962.0852,28.6726,6.500599999999995
155,49.065,36.4919,30.3723,114.8778,8.626900000000001,2.485,2815.7556,27.552,6.119600000000002
156,49.41,36.6539,30.2161,113.9655,8.7584,2.5094,2917.1528,27.0966,6.437799999999999
157,49.752,36.4573,29.8698,121.08,8.66,2.431,2996.1052,27.2027,6.587499999999995
158,50.091,36.5692,30.1306,114.1846,8.5395,2.4895,2750.0227,28.4634,6.438600000000001
159,50.437,36.5904,30.1822,113.5484,9.0363,2.4528,2869.4404,28.093,6.408200000000001
160,50.779,36.5598,30.1822,115.1645,8.715100000000001,2.4673,2944.2553,26.5823,6.377600000000001
161,51.123,36.6691,30.4113,116.2453,8.642700000000001,2.5343999999999998,2782.3291,26.626,6.2578
162,51.474,36.4503,29.9989,114.4347,8.609300000000001,2.4802999999999997,2794.8576,28.6119,6.4514
163,51.817,36.6391,30.0736,114.9039,8.667,2.464,2837.0583,26.6347,6.5655
164,52.166,36.5157,30.0193,123.1963,8.5325,2.4912,2800.5102,27.1117,6.496400000000001
165,52.515,36.5109,30.7733,120.2476,8.6631,2.4659999999999997,2772.3017,28.2245,5.7376000000000005
166,52.864,36.6175,30.3915,114.0958,8.8474,2.4929,2940.3117,27.6239,6.225999999999999
167,53.207,36.5869,30.2806,112.5578,8.845,2.5131,2763.1943,28.3099,6.3063
168,53.556,36.4684,30.1339,113.4441,8.8812,2.5141,2933.9853,27.2007,6.334500000000002
169,53.9,36.6427,30.0906,120.1434,8.810400000000001,2.4705,2781.727,26.4945,6.552099999999999
170,54.254,36.6786,30.3315,125.0055,8.6804,2.4621999999999997,2863.2329,27.2984,6.347100000000005
171,54.602,36.6123,30.2693,120.3367,8.8718,2.4529,2789.746,27.0805,6.342999999999996
172,54.955,36.6724,30.3057,120.446,8.602500000000001,2.4674,2854.5148,27.9338,6.366700000000002
173,55.302,36.5836,30.1769,115.2149,8.7521,2.4976,2783.8784,27.2617,6.406699999999997
174,55.655,36.3425,30.2365,120.7429,8.7118,2.4762999999999997,2854.8769,28.5481,6.106000000000002
175,56.0,36.5172,30.2099,112.9489,8.905700000000001,2.5162,2980.6257,26.8336,6.3073000000000015
176,56.346,36.6159,30.1835,120.4535,8.5679,2.497,2893.1464,26.6746,6.432400000000005
177,56.697,36.6835,30.4067,115.8944,8.619,2.5004,2919.424,28.0962,6.2768000000000015
178,57.042,36.5225,30.1483,111.0981,8.8694,2.4932,2819.4604,27.5083,6.374200000000002
179,57.395,36.691,30.3024,113.4448,8.9765,2.4783,2855.8735,27.3117,6.388600000000004
180,57.746,36.5301,30.025,113.4181,8.8725,2.508,2894.0766,28.0789,6.505099999999999
181,58.093,36.6394,30.309,105.3968,9.0379,2.4528,2808.8134,27.1561,6.330400000000001
182,58.448,36.6639,30.2569,114.8778,8.667100000000001,2.5067,2938.008,26.7558,6.4069999999999965
183,58.801,36.4039,30.0057,115.0342,8.788300000000001,2.4640999999999997,2955.5678,28.2858,6.398199999999999
184,59.145,36.3524,30.4014,111.9062,8.837900000000001,2.4668,2851.8916,27.0765,5.951000000000004
185,59.5,36.3707,30.1637,115.5513,8.908800000000001,2.4956,2949.5625,27.1027,6.207000000000001
186,59.85,36.4281,29.8699,115.2887,8.8899,2.4661,2938.5837,28.1711,6.558199999999999
187,60.197,36.5123,30.3354,111.6716,8.7726,2.4564,2902.1025,26.4993,6.176900000000003
188,60.554,36.384,30.2066,115.1885,8.7568,2.4733,2766.2517,27.6921,6.177399999999999
189,60.911,36.3154,30.2365,114.0631,8.8489,2.5093,2914.6967,26.7745,6.078899999999997
190,61.265,36.5443,30.1245,122.7501,8.4899,2.4774,2770.0832,28.8062,6.419799999999999
191,61.62,36.2951,29.9325,114.956,8.8277,2.4335999999999998,2836.4323,27.4349,6.362599999999997
192,61.976,36.5938,30.3255,113.888,8.9214,2.4565,2961.403,26.4762,6.2683
193,62.33,36.5725,30.3926,115.3992,8.7127,2.503,2810.5678,28.322,6.179899999999996
194,62.686,36.3161,30.1686,114.6432,8.8788,2.4333,2917.0583,27.6648,6.147499999999997
195,63.039,36.4041,30.1754,116.8328,8.898100000000001,2.4396,2736.0612,27.2627,6.2287
196,63.403,36.6464,30.2501,114.956,8.6356,2.4417,2758.5361,27.2698,6.3963
197,63.765,36.6534,30.4543,120.6126,8.755,2.4389,2773.5832,27.1976,6.199099999999998
198,64.126,36.564,30.2569,112.6621,8.955200000000001,2.4577999999999998,2761.3291,27.4081,6.307099999999998
199,64.488,36.5476,30.0939,119.8566,8.852400000000001,2.4411,2781.8132,26.886,6.453700000000001
200,64.851,36.5836,30.3315,114.5911,8.626100000000001,2.4591,2792.2561,26.7725,6.252099999999999
201,65.214,36.5836,30.0872,121.7595,8.568200000000001,2.4667,2850.5368,27.996,6.496399999999998
202,65.571,36.5584,29.9324,112.8636,8.952900000000001,2.4661999999999997,2753.0512,27.952,6.625999999999998
203,65.933,36.4736,30.1174,113.5505,8.815100000000001,2.4581999999999997,2748.4272,26.9485,6.356199999999998
204,66.298,36.5958,30.4213,114.5544,8.6159,2.4811,2840.5502,27.3096,6.174499999999998
205,66.66,36.3217,30.2942,120.378,8.5789,2.4752,2848.3718,27.1835,6.0275
206,67.021,36.3679,29.9432,112.8706,8.8285,2.4846,2849.1831,27.3629,6.424699999999998
207,67.383,36.6218,30.0668,119.205,8.8726,2.4975,2833.8422,28.9215,6.555
208,67.739,36.4653,30.0193,119.8608,8.7371,2.4802,2959.0664,27.8954,6.445999999999998
209,68.094,36.5372,30.2399,111.9844,8.8198,2.4983999999999997,2805.4863,27.8698,6.2973
210,68.456,36.4693,30.1177,114.6953,8.883600000000001,2.4531,2830.812,27.4122,6.351599999999998
211,68.819,36.3075,30.1007,112.7403,9.0088,2.4978,2856.4174,27.2322,6.206799999999998
212,69.181,36.4614,29.8929,120.2346,8.812700000000001,2.4758,2924.1667,28.6703,6.568499999999997
213,69.536,36.5757,30.4334,116.103,8.7371,2.5164,2777.7778,28.2114,6.142299999999999
214,69.9,36.2919,29.7938,112.7579,8.930800000000001,2.5162999999999998,2833.1286,28.3826,6.498099999999997
215,70.26,36.6027,30.301,109.7982,8.9458,2.4929,2836.9687,28.2737,6.3017
216,70.622,36.6364,30.3156,113.4184,8.8726,2.4657,2845.5798,28.1179,6.320800000000002
217,70.985,36.6045,30.2925,108.1397,8.959900000000001,2.445,2852.7958,27.0074,6.312000000000001
218,71.351,36.435,30.2297,123.4578,8.5608,2.473,2991.5239,27.143,6.205300000000001
219,71.712,36.7554,30.5467,114.1581,8.620600000000001,2.4861999999999997,2958.3854,27.1511,6.2087
220,72.075,36.3359,29.9175,121.9681,8.549000000000001,2.4516999999999998,2757.0151,26.9595,6.418400000000002
221,72.448,36.5577,30.3354,122.2027,8.480500000000001,2.4527,2755.1582,26.9177,6.222299999999997
222,72.82,36.511,30.1007,126.5597,8.669400000000001,2.4666,2774.8659,27.0174,6.410300000000003
223,73.191,36.3751,30.1637,123.2464,8.5418,2.4735,2776.5778,26.9904,6.211400000000005
224,73.564,36.6015,30.3417,123.0107,8.5324,2.5149,2775.4648,27.0615,6.259800000000002
225,73.936,36.5021,30.0702,122.4894,8.552900000000001,2.5042,2775.1225,27.1369,6.431899999999999
226,74.309,36.5539,30.2399,124.8304,8.6804,2.4871,2816.1081,27.0675,6.314
227,74.681,36.6848,30.1245,122.0463,8.4671,2.4936,2770.0832,27.1198,6.560300000000002
228,75.055,36.4753,30.1273,121.8638,8.5332,2.4692,2828.7653,27.9124,6.347999999999995
229,75.423,36.4461,30.0023,110.3732,8.889100000000001,2.4983999999999997,2987.4526,27.403,6.4437999999999995
230,75.786,36.5047,29.965,112.3754,9.0174,2.4922999999999997,2780.6958,27.6543,6.5397
231,76.157,36.6813,30.2528,111.0671,8.8355,2.461,2775.2937,27.8198,6.4285
232,76.529,36.3572,29.883,107.3518,8.8497,2.4926,2771.7038,28.604,6.4742
233,76.898,36.5683,30.1822,115.1124,8.8332,2.4899999999999998,2941.9455,28.9375,6.386099999999999
234,77.259,36.5801,30.2396,113.6562,8.9166,2.513,2993.8129,28.2409,6.340500000000002
235,77.622,36.5095,30.1306,110.9086,8.836300000000001,2.4871,2770.4243,28.72,6.378900000000002
236,77.992,36.457,30.2942,116.885,8.7001,2.4933,2972.8479,27.9531,6.162800000000001
237,78.356,36.5369,30.2396,115.2413,9.033100000000001,2.5048,2821.2282,27.6093,6.2973000000000035
238,78.73,36.4944,30.1584,118.1883,8.9875,2.4512,2864.2353,28.0121,6.3359999999999985
239,79.099,36.5174,30.1075,112.5466,8.9717,2.5012,2825.4797,27.6805,6.4099
240,79.472,36.6294,30.4213,109.4527,8.8749,2.4760999999999997,2816.725,27.9327,6.208099999999998
241,79.845,36.6684,30.1835,116.9586,8.9009,2.4545,2859.8666,28.0304,6.4849
