,Time (sec),PT1 (psi),PT2 (psi),V (V),I (A),Flow Rate (GPM),GV,DP
1346,614.388,38.0202,32.0513,11.9997,1.3768,27.7101,0,5.9689
1347,615.24,37.8107,31.7016,12.0171,1.3736,27.474,0,6.1091
1348,616.093,38.1406,32.1885,12.0737,1.3525,27.6334,0,5.9521
1349,616.947,38.0778,32.2186,12.0381,1.3393,27.2009,0,5.8592
1350,617.801,37.9399,31.9122,12.0223,1.3802,27.1633,0,6.0277
1351,618.656,37.9573,31.9183,11.9932,1.3534,27.5189,0,6.039
1352,619.513,38.238,32.0167,12.0405,1.3613,27.4808,0,6.2213
1353,620.37,38.1236,32.0609,11.9103,1.3511,27.4429,0,6.0627
1354,621.229,38.2488,31.9964,12.0555,1.3521,27.4049,0,6.2524
1355,622.088,37.9346,31.7876,11.9269,1.3515,27.1716,0,6.147
1356,622.948,38.1651,32.0558,11.9515,1.3552,27.3293,0,6.1093
1357,623.808,37.994,31.9217,12.0227,1.3533,27.2916,0,6.0723
1358,624.669,38.179,32.1114,12.0122,1.3752,27.254,0,6.0676
1359,625.531,38.1682,32.1624,11.9544,1.3405,27.2164,0,6.0058
1360,626.395,38.3536,32.3358,11.9264,1.3393,27.1789,0,6.0178
1361,627.259,38.2838,32.2068,12.003,1.353,27.1415,0,6.077
1362,628.124,37.9888,31.9197,12.0555,1.344,27.4913,0,6.0691
1363,628.99,38.238,32.0982,12.077,1.3611,27.4534,0,6.1398
1364,629.856,38.1982,32.1135,11.9358,1.3608,27.0296,0,6.0847
1365,630.723,38.1703,31.9047,11.9705,1.3676,27.378,0,6.2656
1366,631.591,38.2923,32.0676,12.0175,1.3574,27.3404,0,6.2247
1367,632.46,37.9102,31.8996,12.0264,1.3731,27.3028,0,6.0106
1368,633.331,38.097,31.8088,12.0001,1.3691,27.2653,0,6.2882
1369,634.203,38.1633,31.9353,12.0697,1.3421,27.6113,0,6.228
1370,635.075,37.9312,31.8689,11.9815,1.3472,27.3819,0,6.0623
1371,635.949,38.2296,32.0914,12.0122,1.3499,27.153,0,6.1382
1372,636.822,38.0394,32.0354,11.9362,1.3575,27.4977,0,6.004
1373,637.698,38.1354,31.9709,12.0053,1.3757,27.2692,0,6.1645
1374,638.573,38.1179,32.0438,12.0418,1.3543,27.4223,0,6.0741
1375,639.45,38.2174,32.2289,11.9993,1.3445,27.3847,0,5.9885
1376,640.327,38.1406,32.1415,12.0365,1.3526,27.727,0,5.9991
1377,641.205,38.1424,32.2425,11.9932,1.3448,27.3097,0,5.8999
1378,642.084,37.9762,32.2119,11.886,1.371,27.2724,0,5.7643
1379,642.964,37.9381,32.1152,11.9873,1.3393,27.6133,0,5.8229
1380,643.845,38.0808,32.0643,11.9944,1.3552,27.1978,0,6.0165
1381,644.726,38.141,32.2713,12.0341,1.3587,27.5378,0,5.8697
1382,645.608,37.9818,32.0439,12.0362,1.3622,27.5002,0,5.9379
1383,646.492,38.1686,32.105,11.8629,1.3615,27.0864,0,6.0636
1384,647.376,38.0751,32.2492,12.0102,1.3613,27.4251,0,5.8259
1385,0,38.0736,32.1847,12.0668,1.3502,,0,5.8889
