label,Time (sec),PT1 (psi),PT2 (psi),V (V),I (A),Flow Rate (GPM),GV,DP,Power
1200,98.085,37.982,31.5687,13.3467,1.3237,27.7993,0,6.4133,17.66702679
1201,98.822,38.0673,31.8504,13.271,1.3219,27.7583,0,6.2169,17.5429349
1202,99.559,37.9504,31.7113,13.3524,1.3282,27.7174,0,6.2391,17.73465768
1203,100.297,38.1459,31.8219,13.4636,1.3333,27.6765,0,6.324,17.95101788
1204,101.036,38.1109,31.7571,13.3956,1.3287,27.8782,0,6.3538,17.79873372
1205,101.775,38.1825,31.7978,13.4068,1.3257,27.5951,0,6.3847,17.77339476
1206,102.515,38.1825,31.9422,13.2868,1.3138,28.038,0,6.2403,17.45619784
1207,103.257,38.1197,31.7775,13.4381,1.3189,27.9967,0,6.3422,17.72351009
1208,103.998,37.9748,31.8097,13.4278,1.3265,27.9556,0,6.1651,17.8119767
1209,104.74,38.1236,31.8606,13.2961,1.3204,27.9145,0,6.263,17.55617044
1210,105.483,38.104,31.8012,13.2767,1.3227,28.3541,0,6.3028,17.56109109
1211,106.227,38.1005,31.6904,13.3325,1.321,27.5927,0,6.4101,17.6122325
1212,106.972,38.186,31.8725,13.4527,1.3197,27.7917,0,6.3135,17.75352819
1213,107.717,38.0289,31.5926,13.3143,1.3146,28.2295,0,6.4363,17.50297878
1214,108.465,37.9521,31.6417,12.8053,1.4205,27.7102,0,6.3104,18.18992865
1215,109.212,37.9259,31.6922,12.7649,1.4097,27.6696,0,6.2337,17.99467953
1216,109.96,38.1232,31.7876,12.7823,1.4224,27.3909,0,6.3356,18.18154352
1217,110.708,38.2244,31.9573,12.8652,1.435,27.5887,0,6.2671,18.461562
1218,111.457,38.0638,31.8504,12.4137,1.5205,27.0734,0,6.2134,18.87503085
1219,112.207,37.8869,31.7944,12.2268,1.5235,27.2709,0,6.0925,18.6275298
1220,112.957,38.104,31.864,12.182,1.5168,27.4679,0,6.24,18.4776576
1221,113.709,37.9696,31.8606,12.2118,1.5076,27.1913,0,6.109,18.41050968
1222,114.461,38.1476,31.7881,12.2543,1.5269,27.3877,0,6.3595,18.71109067
1223,115.214,37.9294,31.8216,12.143,1.5337,26.8762,0,6.1078,18.6237191
1224,115.967,38.0421,31.9336,12.1641,1.5231,27.3078,0,6.1085,18.52714071
1225,116.721,38.0027,31.8727,12.2462,1.5172,27.5031,0,6.13,18.57993464
1226,117.476,37.9626,31.9539,12.1618,1.5088,27.6977,0,6.0087,18.34972384
1227,118.233,37.9416,31.8521,12.1232,1.5109,27.4229,0,6.0895,18.31694288
