,Unnamed: 0,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi),GV,Speed (rad/s),torque_adj (mNm),turbine power (w),fluid power (w),turbine eff
38,38,581.904,37.70778571,29.40598571,119.7507,12.62848571,2.6158,3717.355457,27.76218571,8.3018,8.76,389.28055270495304,141.57972574000001,55.114233887882875,94.3254812051496,0.5842984650988875
39,39,591.2919999999999,37.70425714,29.48901429,125.92422859999998,12.02647143,2.718257143,3512.903271,27.60704286,8.215242857,8.76,367.87036987781863,146.4971870554279,53.89197438814025,92.75891632285482,0.5809896937623218
40,40,602.57,37.69307143,29.37598571,130.7119,11.30041429,2.818157143,3473.760671,28.11491429,8.317085714,8.76,363.7713663957556,151.2919175254279,55.03566756285886,95.71086050413597,0.575020089391847
41,41,613.134,37.63371429,29.55191429,133.1502,10.54961429,2.9113428569999997,3327.596843,27.72908571,8.0818,8.76,348.4651261377334,155.7643938245721,54.2784591418471,91.55940377012975,0.5928223307145962
42,42,623.881,37.50948571,29.50804286,138.42362859999997,9.9163,3.008085714,3208.5267710000003,28.00852857,8.001442857,8.76,335.99613737006115,160.40759626914422,53.896332751248686,91.50307663320358,0.5890111538795124
43,43,634.775,37.56118571,29.58938571,143.1793286,9.3094,3.1060285710000004,3065.546086,27.48145714,7.9718,8.76,321.0232350671289,165.10839307371634,53.003630481259556,89.42679316305443,0.5927041394027909
44,44,645.8969999999999,37.47651429,29.63052857,148.8504714,8.699071429,3.204785714,2934.618471,26.99278571,7.845985713999999,8.76,307.3125273015946,169.84827177914417,52.196501658256906,86.35935644390938,0.6044104982667242
45,45,679.82,37.82272857,29.4087,115.74822859999999,13.30995714,2.519042857,3841.390814,27.63364286,8.414028571000001,8.76,402.26950490133055,136.93583763457212,55.08511160850831,95.23777032308391,0.5783956451483271
46,46,689.2919999999999,37.95255714,29.41307143,112.7485571,13.91258571,2.4195428569999997,4031.608557,27.13427143,8.539485714,8.76,422.1890603449435,132.16030528457208,55.79663510299436,94.99750504123082,0.5873484264537
47,47,699.788,37.94611429,29.3405,108.26421429999999,14.54535714,2.320314286,4121.165229,27.22125714,8.605614286,8.76,431.5674130953989,127.3978002508558,54.980739088306194,96.08507115759828,0.5722089646801327
48,48,710.3610000000001,37.94584286,29.12841429,102.8208714,15.23082857,2.219171429,4213.5649140000005,27.51722857,8.817428571,8.76,441.2434854706761,122.54341848628371,54.07148509437951,99.66514636619695,0.5425315375116805
49,49,721.0260000000001,37.97737143,29.09541429,97.60084286,15.86768571,2.119285714,4333.811186,27.39572857,8.881957143,8.76,453.8356456141794,117.7493736291442,53.43886300164789,99.99406283174491,0.5344203594524091
50,50,738.693,38.05377143,29.10037143,94.7368,16.44032857,2.011628571,4474.117414,27.76778571,8.9534,8.76,468.5284794353136,112.5823367537163,52.74803105049312,102.21500533503647,0.5160497803389789
51,51,819.96,39.42066667,28.4,93.20345,19.18223333,2.01285,5055.6274,26.8875,11.02066667,10.95,529.424062699287,112.64095960499999,59.634834460425374,123.15297385347033,0.4842338158344434
52,52,833.868,39.3703,28.46518333,98.27695,18.44951667,2.1009,4983.557967,27.53846667,10.90511667,10.95,521.876969332538,116.86694577000002,60.99016747359768,124.75042989456168,0.48889745330053136
53,53,845.7589999999999,39.24728333,28.45796667,102.9024667,17.90623333,2.213466667,4807.120733,27.12088333,10.78931667,10.95,503.40050541518036,122.2696167226651,61.55058685511,121.49262884741151,0.5066199278016641
54,54,856.7310000000001,39.09583333,28.44946667,108.20136670000001,17.32091667,2.312933333,4658.800067,27.20025,10.64636667,10.95,487.8684016102236,127.04354919733491,61.98053328179359,120.15680206412513,0.5158304167309304
55,55,866.7239999999999,39.02471667,28.52868333,113.01578329999998,16.66966667,2.417766667,4570.848833,27.08301667,10.49603333,10.95,478.65816993379593,132.0750565126651,63.218804844254954,117.86786951230404,0.5363531648262773
56,56,892.699,38.93863333,28.61695,115.38158329999999,16.06406667,2.519483333,4460.97685,26.64645,10.32168333,10.95,467.15240279267175,136.9569784123349,63.97978154454633,113.94700677953895,0.5614871627855251
57,57,903.07,38.95571667,28.59656667,120.09896670000002,15.38178333,2.6230833330000003,4314.57955,27.28418333,10.35915,10.95,451.82171340401027,141.92929149233493,64.12673566428398,117.1187849575238,0.5475358687126171
58,58,913.528,38.88853333,28.58673333,126.70745,14.78883333,2.716583333,4218.6203,27.28558333,10.3018,10.95,441.77288425402645,146.41685204233488,64.68299503013732,116.44410899537911,0.5554853361684803
59,59,922.918,38.8498,28.7358,130.22981670000001,14.16413333,2.818133333,4132.27605,27.27626667,10.113999999999999,10.95,432.73093554836777,151.29077475733487,65.46819850057891,114.176117341312,0.5733966088973911
60,60,933.592,38.73611667,28.76698333,135.37485,13.47738333,2.914216667,3954.9042,27.45905,9.969133333,10.95,414.15659887247097,155.9023231976651,64.56797593186171,113.21088320908882,0.5703336472749826
61,61,945.596,38.71156667,28.74373333,138.52151669999998,12.81423333,3.0099166669999997,3883.6546670000002,27.05531667,9.967833333,10.95,406.6953652328466,160.4954734076651,65.27276517574897,111.53103211284228,0.5852430838236017
62,62,961.408,38.7628,28.83676667,140.5250667,12.19843333,3.1116666669999997,3805.008,27.12435,9.926033333,10.95,398.45950553304,165.3789951826651,65.89683264603573,111.32241912501318,0.5919457478913992
63,63,973.758,38.65168333,28.8771,147.6756833,11.61086667,3.209483333,3638.3662329999997,27.02876667,9.774583332999999,10.95,381.0088205200329,170.07373541233488,64.79959333088986,109.14949385926465,0.5936774513534737
64,64,991.29,38.570440000000005,28.9892,150.8817,10.94238,3.3070800000000005,3544.6167600000003,27.137179999999997,9.58124,10.95,371.19139867609385,174.75791672400004,64.8686355385019,107.30499082219517,0.6045258010970759
65,65,1002.716,38.474940000000004,29.0649,154.9708,10.3018,3.4039,3400.1056200000003,27.105999999999998,9.410039999999999,10.95,356.0582275005231,179.40482167,63.87856280886764,105.1631054987092,0.6074237015533143
66,66,1111.4029,39.16026,28.301740000000002,139.04564,13.89696,3.01032,4067.4689,27.59388,10.85852,12.26,425.9443466781195,160.514831496,68.37038503371215,124.44215118123802,0.5494150043592325
67,67,1122.404,39.24216,28.429740000000002,133.60668,14.449079999999999,2.9165,4237.56076,27.15346,10.81242,12.26,443.7563245848138,156.01191245,69.23127286025976,121.91144657385048,0.5678816452917851
68,68,1133.4709,39.24188,28.33158,129.48561999999998,15.133220000000001,2.82078,4330.85844,27.13658,10.9103,12.26,453.5264347764822,151.417802334,68.67197605422912,122.9910509591641,0.5583493719151146
