,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),eff (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM),
761,180.27122,41.8261,34.9151,6.911,2946.5017,25.8594,99.9539064,99.9539064,10.084,0.11,7.0161278299,3086.3806517626,35.12,27.6068253095,3062.8555141725,5.8994009305,1.8853625629,5.8805,1.9229,72.2161789425,30.8414711131,19.3905236,0.4270714896,0.6287159108,0.2685066405,9.7522960377,42.13612783,35.2765236565,5.8805,1.8297208906,25.5310923792,2917.1232375482,1.8297208906
762,180.500548,42.029,35.2444,6.7846,2994.3935,25.4811,100.2942032,100.2942032,9.9393,0.122,7.0253488594,3086.3806517626,35.12,27.6160970509,3053.9812049818,5.8994009305,1.8853625629,5.8805,1.9302,69.7586942634,31.4494693004,19.18483686,0.450832253,0.6100210047,0.2750171439,9.7597553946,42.1453488594,35.3062190925,5.8805,1.8306152034,25.5439280851,2934.7595528983,1.8306152034
763,180.758104,42.1279,35.2621,6.8658,2994.3935,25.4811,101.6320824,101.6320824,10.0324,0.108,7.0225459428,3086.3806517626,35.12,27.6160970509,3053.9812049818,5.9342571694,1.8438198719,5.8805,1.9589,70.6587206353,31.8689909625,19.65246836,0.4510270024,0.6166642798,0.2781322416,9.7704622351,42.1425459428,35.3085275278,5.8805,1.8295242217,25.55681411,2958.778125985,1.8295242217
764,181.009124,42.1444,35.1259,7.0185,3009.1169,25.5333,99.1334648,99.1334648,10.1224,0.115,7.0002211085,3086.3806517626,35.12,27.6053164148,3047.6373683844,5.9342571694,1.8438198719,5.8805,1.9053,72.4994750494,31.2383410938,19.28620872,0.4308767901,0.6173890176,0.2660185982,9.7892413534,42.1202211085,35.2786322494,5.8805,1.8253724015,25.5696834764,2982.8383369281,1.8253724015
765,181.256943,41.911,34.9352,6.9758,3009.1169,25.5333,97.5997984,97.5997984,10.4865,0.11,6.9638978548,3086.3806517626,35.12,27.6053164148,3047.6373683844,5.9342571694,1.8438198719,5.8809,1.8724,72.0252157488,30.7550613636,19.6349226,0.4270040852,0.6384289847,0.2726117846,9.8202036623,42.0838978548,35.2282286958,5.8809,1.8175024985,25.5824624355,3000.8536950141,1.8175024985
766,181.442622,42.0681,35.0929,6.9752,3064.56,25.5842,100.2009712,100.2009712,10.421,0.118,6.9283718535,3086.3806517626,35.12,27.6053164148,3047.6373683844,5.9342571694,1.8438198719,5.8805,1.9282,72.1621188795,32.1564929102,20.0937722,0.4456145885,0.6248744929,0.27845319,9.8659219524,42.0483718535,35.1755653537,5.8805,1.8058821965,25.5950654438,3011.2271127358,1.8058821965
767,181.68431,41.9501,35.1179,6.8322,3064.56,25.5842,95.809744,95.809744,10.4214,0.108,6.9055486501,3086.3806517626,35.12,27.5632491678,3048.7711556452,5.9342571694,1.8438198719,5.8805,1.834,70.5706838529,30.7472603985,19.1128476,0.4356945224,0.6216114006,0.2708326823,9.9274650363,42.0255486501,35.1323296959,5.8805,1.7910375002,25.6073938692,3022.2406732175,1.7910375002
768,181.957676,42.0546,34.9297,7.1249,3073.6655,25.4513,97.9167872,97.9167872,10.5277,0.116,6.8973326575,3023.0934967289,35.12,27.5632491678,3048.7711556452,5.9471239856,1.8668823766,5.8805,1.8792,73.4446091972,31.5168188199,19.78365384,0.4291236507,0.6277173452,0.2693683588,10.0045308734,42.0173326575,35.1008953452,5.8805,1.7738757354,25.6193377144,3043.4452131772,1.7738757354
769,182.219911,42.0833,35.0452,7.0381,3073.6655,25.4513,100.2662336,100.2662336,10.561,0.11,6.8982987642,3023.0934967289,35.12,27.5162435813,3057.1056759726,5.9471239856,1.8668823766,5.8805,1.9296,72.4836372081,32.2730433513,20.3785056,0.4452459147,0.6314404681,0.2811462888,10.0952895601,42.0182987642,35.0789616135,5.8805,1.7554927321,25.6307784222,3068.2642987946,1.7554927321
770,182.42453,42.2129,35.1851,7.0278,3093.3149,25.2002,96.6162008,96.6162008,10.8309,0.115,6.902694998,3023.0934967289,35.12,27.5162435813,3057.1056759726,5.9471239856,1.8668823766,5.8805,1.8513,71.6556134786,31.296999784,20.05124517,0.4367696858,0.6406762728,0.2798279743,10.1963727994,42.022694998,35.0631017919,5.8805,1.7370397949,25.6415908124,3080.9108477095,1.7370397949
771,182.618124,42.321,35.292,7.029,3093.3149,25.2002,95.7817744,95.7817744,10.8557,0.11,6.9099985905,3023.0934967289,35.12,27.5162435813,3057.1056759726,5.9471239856,1.8668823766,5.8805,1.8334,71.6687677339,31.0267030569,19.90284038,0.4329180484,0.64147455,0.2777059102,10.3034580888,42.0299985905,35.0518320558,5.8805,1.7196452794,25.6516429784,3081.1519999537,1.7196452794
772,182.851615,42.0369,34.9835,7.0534,3147.4819,25.3957,97.5625056,97.5625056,10.9563,0.117,6.9255009424,3023.0934967289,35.12,27.4513384145,3076.6362714202,5.9471239856,1.8668823766,5.8805,1.8716,72.4943099268,32.1569465765,20.50581108,0.4435789045,0.637679048,0.2828609735,10.4122884456,42.0455009424,35.0486597079,5.8805,1.7042613279,25.6607945376,3084.9531961229,1.7042613279
773,183.104235,42.1921,35.0312,7.1609,3147.4819,25.3957,95.8237288,95.8237288,10.8789,0.109,6.9544413709,3023.0934967289,35.12,27.4513384145,3076.6362714202,5.9331668076,1.9056923484,5.8805,1.8343,73.6818538615,31.5838395994,19.95516627,0.4286515328,0.6318157173,0.2708287757,10.5195253042,42.0744413709,35.0589242411,5.8805,1.6914602001,25.668895888,3103.2127142267,1.6914602001
774,183.37608,42.3137,35.3299,6.9838,3149.3549,25.1335,97.2734864,97.2734864,10.8909,0.122,6.9946927953,3023.0934967289,35.12,27.4052202784,3100.0020916907,5.9331668076,1.9056923484,5.8805,1.8654,70.984909005,32.0807640584,20.31588486,0.4519378063,0.6332730986,0.286200055,10.6229375084,42.1146927953,35.0816732241,5.8805,1.681361358,25.6757911247,3130.8940183493,1.681361358
775,183.607523,42.0192,34.956,7.0632,3149.3549,25.1335,95.250352,95.250352,10.8893,0.108,7.0367004458,3023.0934967289,35.12,27.4052202784,3100.0020916907,5.9331668076,1.9056923484,5.8809,1.822,71.8529785243,31.4135349938,19.8403046,0.4371918275,0.6315845894,0.2761236209,10.7209606089,42.1567004458,35.1081988563,5.8809,1.6737195493,25.6813232707,3152.5157106969,1.6737195493
776,183.793671,41.8286,35.0165,6.8121,3153.965,25.4957,97.3294256,97.3294256,10.857,0.115,7.0690580469,3023.0934967289,35.12,27.4052202784,3100.0020916907,5.9331668076,1.9056923484,5.8805,1.8666,70.1036506963,32.1462003733,20.2656762,0.4585524442,0.6304221328,0.2890816099,10.8120884871,42.1890580469,35.1287575983,5.8805,1.6680661159,25.6853386564,3157.3052898211,1.6680661159
777,184.031185,41.8127,34.8613,6.9514,3153.965,25.4957,95.1151656,95.1151656,10.8883,0.108,7.0804825309,3023.0934967289,35.12,27.3587598024,3127.2729007498,5.9331668076,1.9056923484,5.8805,1.8191,71.6485461326,31.4148691731,19.80690653,0.4384578735,0.6304946368,0.2764453377,10.8945324588,42.2004825309,35.136438194,5.8805,1.6638411865,25.6876914456,3151.3572688449,1.6638411865
778,184.308039,42.2037,35.1326,7.0711,3146.2963,25.4586,97.5997984,97.5997984,10.8081,0.112,7.0603877009,3089.4834919776,35.12,27.3587598024,3127.2729007498,5.9326664753,1.9386256442,5.8805,1.8724,72.8698784135,32.1571208398,20.23708644,0.4412951077,0.6293189785,0.2777153864,10.9662677626,42.1803877009,35.1263033477,5.8805,1.6605076042,25.6882517236,3148.3706266233,1.6605076042
779,184.56364,42.2294,35.0739,7.1555,3146.2963,25.4586,96.765372,96.765372,10.8633,0.109,7.0070684658,3089.4834919776,35.12,27.3585997336,3151.8941864946,5.9326664753,1.9386256442,5.8805,1.8545,73.8045477557,31.8821945488,20.14598985,0.4319814364,0.6318884297,0.2729640715,11.0253390988,42.1270684658,35.0975392104,5.8805,1.6576462933,25.6869164298,3150.9641775592,1.6576462933
780,184.771463,42.0723,35.0024,7.0699,3145.2192,25.5421,97.231532,97.231532,10.8651,0.113,6.9374283515,3089.4834919776,35.12,27.3585997336,3151.8941864946,5.9326664753,1.9386256442,5.8805,1.8645,73.0955468465,32.0248175563,20.25797895,0.4381226892,0.6325712524,0.2771438182,11.0702630701,42.0574283515,35.0578343759,5.8805,1.6550313218,25.6836190684,3151.4988209245,1.6550313218
781,184.965006,42.1011,35.091,7.0101,3145.2192,25.5421,98.4761792,98.4761792,10.8799,0.109,6.8818949767,3089.4834919776,35.12,27.3585997336,3151.8941864946,5.9326664753,1.9386256442,5.8805,1.8912,72.4311327801,32.4347627529,20.57606688,0.4478014012,0.6343831474,0.2840776623,11.1004378208,42.0018949767,35.0216286156,5.8805,1.6526647929,25.6783362485,3147.2159903034,1.6526647929
782,185.194299,41.9892,35.0489,6.9403,3151.5847,25.5149,95.343584,95.343584,10.9283,0.114,6.8644929305,3089.4834919776,35.12,27.384809273,3173.1239700492,5.9326664753,1.9386256442,5.8809,1.824,71.5793060098,31.4665459957,19.9332192,0.4396039547,0.6334733784,0.2784774024,11.1164703518,41.9844929305,35.001673979,5.8809,1.6507440979,25.6710916398,3143.664131493,1.6507440979
783,185.474264,42.2361,35.0947,7.1414,3151.5847,25.5149,97.9820496,97.9820496,10.8658,0.11,6.8873459134,3006.6551943327,35.12,27.384809273,3173.1239700492,5.9118724823,1.9897971423,5.8805,1.8806,73.8112689265,32.3373271817,20.43422348,0.4381082679,0.6319082392,0.2768442242,11.1202829626,42.0073459134,35.0023392495,5.8805,1.6495508762,25.6619576087,3145.1426499989,1.6495508762
784,185.729344,42.0235,35.0379,6.9856,3150.5041,25.3153,97.1522848,97.1522848,10.8617,0.112,6.9330993373,3006.6551943327,35.12,27.3982064415,3191.086420989,5.9118724823,1.9897971423,5.8809,1.8628,71.5181908894,32.0524834993,20.23317476,0.4481724594,0.6312513899,0.2829094879,11.1148865821,42.0530993373,35.0193982437,5.8809,1.6493007635,25.6510538489,3149.5987602924,1.6493007635
785,185.942124,41.9398,35.0043,6.9355,3150.5041,25.3153,96.998452,96.998452,10.8308,0.11,6.9786890916,3006.6551943327,35.12,27.3982064415,3191.086420989,5.9118724823,1.9897971423,5.8809,1.8595,70.9664923454,32.0017309792,20.1398726,0.4509414221,0.629336976,0.2837941109,11.1038229928,42.0986890916,35.0436261625,5.8809,1.6500485704,25.6385422282,3152.5077631603,1.6500485704
786,186.128205,42.3302,35.2468,7.0834,3151.1523,25.3603,95.4414776,95.4414776,10.8651,0.116,7.0067617695,3006.6551943327,35.12,27.3982064415,3191.086420989,5.9118724823,1.9897971423,5.8809,1.8261,72.7242030911,31.494532463,19.84075911,0.4330681001,0.6299747149,0.2728219529,11.0904651152,42.1267617695,35.0651650458,5.8809,1.651678668,25.6246179469,3152.0988276812,1.651678668
787,186.369852,42.1469,35.0715,7.0754,3151.1523,25.3603,96.4670296,96.4670296,10.8707,0.11,7.0113885574,3006.6551943327,35.12,27.4209468911,3204.7504936441,5.9118724823,1.9897971423,5.8809,1.8481,72.6359509181,31.8329522105,20.09014067,0.4382533967,0.6311114513,0.2765867372,11.077478618,42.1313885574,35.0781847024,5.8809,1.6539106539,25.609498916,3150.4316571048,1.6539106539
788,186.615188,42.2129,35.1094,7.1035,3146.6196,25.3249,93.8845032,93.8845032,10.8743,0.117,7.0000846563,3064.3278825798,35.12,27.4209468911,3204.7504936441,5.8984624017,2.0190262839,5.8809,1.7927,72.8441127161,30.9361862334,19.49435761,0.4246902746,0.6301474093,0.2676174763,11.0666221739,42.1200846563,35.0837266197,5.8809,1.6562965963,25.5934159734,3149.9384533362,1.6562965963
789,186.89362,41.9214,35.1601,6.7613,3146.6196,25.3249,100.2102944,100.2102944,10.6038,0.109,6.9883712952,3064.3278825798,35.12,27.4558915553,3214.0797291985,5.8984624017,2.0190262839,5.8809,1.9284,69.0743954576,33.0206181468,20.44836792,0.4780442583,0.6192606035,0.2960339759,11.0587671965,42.1083712952,35.0872917179,5.8809,1.658272187,25.5766049129,3150.0750218222,1.658272187
790,187.112071,42.2617,35.3965,6.8652,3112.2966,25.5763,102.126212,102.126212,10.4595,0.113,6.9874928438,3064.3278825798,35.12,27.4558915553,3214.0797291985,5.8984624017,2.0190262839,5.8809,1.9695,70.9160335663,33.2848664997,20.59998525,0.4693560092,0.6188994404,0.2904841714,11.0537826832,42.1074928438,35.0940624592,5.8809,1.659351924,25.5593001014,3147.7719282702,1.659351924
791,187.303838,42.178,35.2835,6.8945,3112.2966,25.5763,101.9770408,101.9770408,10.3158,0.109,6.9973023251,3064.3278825798,35.12,27.4558915553,3214.0797291985,5.8984624017,2.0190262839,5.8809,1.9663,71.2420101254,33.2362487807,20.28395754,0.4665259827,0.6102962363,0.2847190514,11.0501065032,42.1173023251,35.108069298,5.8809,1.6594805502,25.5417304724,3139.3958633609,1.6594805502
