,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM),
720,169.438799,41.4785,35.4051,6.0734,2914.6391,25.9149,93.5395448,93.5395448,9.4933,0.111,6.5294139002,3400,35.12,25.3147948083,2959.7522869859,3.3495956726,1.9100934118,4.02398524,1.7853,62.929100342,28.5501672209,16.94838849,0.4536878339,0.5936353493,9.7452437065,41.6494139002,35.2756875996,3.2862,1.7294754388,25.7002488046,2864.1523583068,2564.1523583068
721,169.672196,41.6661,35.2352,6.4309,2902.277,25.9149,98.816476,98.816476,9.5394,0.113,6.5219446196,3400,35.12,25.345197938,2959.6062265405,3.3495956726,1.9100934118,4.02398524,1.8985,66.9591149186,30.032870235,18.1105509,0.4485254961,0.6030243116,9.7509562323,41.6419446196,35.2561857084,3.2862,1.7301390388,25.6963248959,2866.077071793,2566.077071793
722,169.922484,41.8237,35.3012,6.5225,2902.277,25.7264,97.5997984,97.5997984,9.5626,0.11,6.5141717668,3400,35.12,25.345197938,2959.6062265405,3.3495956726,1.9100934118,4.0351991718,1.8724,67.497141915,29.6630905995,17.90501224,0.4394718022,0.6036124988,9.7576039665,41.6341717668,35.2352337656,3.2862,1.7319846504,25.6914729358,2870.2152095637,2570.2152095637
723,170.135138,41.6917,35.1252,6.5665,2906.2758,25.7264,96.2199648,96.2199648,9.568,0.113,6.506889157,3400,35.12,25.345197938,2959.6062265405,3.3495956726,1.9100934118,4.0351991718,1.8428,67.9895358874,29.2840160897,17.6319104,0.4307135754,0.6021001473,9.7640746502,41.626889157,35.2154599596,3.2862,1.7346268755,25.6857839902,2873.7336269134,2573.7336269134
724,170.36858,41.685,35.1497,6.5353,2906.2758,25.9031,94.7702072,94.7702072,9.5265,0.109,6.5011422701,3400,35.12,25.3802865914,2961.5069568781,3.3495956726,1.9100934118,4.0351991718,1.8117,68.1049670982,28.8427903527,17.25916005,0.4235049451,0.598387321,9.7692454111,41.6211422701,35.1995900042,3.2862,1.7374865954,25.6793780299,2874.9073793704,2574.9073793704
725,170.646475,41.5145,35.1515,6.363,2899.883,25.9031,97.9727264,97.9727264,9.5386,0.115,6.4982669402,3400,35.12,25.3802865914,2961.5069568781,3.3495956726,1.9100934118,4.0448374688,1.8804,66.163553563,29.7518713428,17.93638344,0.4496716053,0.6028657234,9.7723050479,41.6182669402,35.1894298439,3.2862,1.7398440031,25.6724022374,2874.603712393,2574.603712393
726,170.840454,41.7314,35.2688,6.4626,2899.883,25.482,96.998452,96.998452,9.4831,0.117,6.4992582601,3400,35.12,25.3802865914,2961.5069568781,3.3495956726,1.9100934118,4.0448374688,1.8595,66.191962005,29.456008528,17.63382445,0.4450088445,0.5986494889,9.7728646898,41.6192582601,35.185262662,3.2862,1.7409302853,25.665027681,2874.6984527868,2574.6984527868
727,171.074292,41.3581,35.1741,6.184,2898.1855,25.482,96.742064,96.742064,9.4944,0.118,6.5040933695,3400,35.12,25.3929387434,2964.2339250086,3.3495956726,1.9100934118,4.0448374688,1.854,63.1038314178,29.3609528507,17.6026176,0.4652800344,0.5995247392,9.7708715935,41.6240933695,35.1860198827,3.2862,1.7401446525,25.6574436262,2875.2515563825,2575.2515563825
728,171.326546,41.4657,35.2309,6.2348,2898.1855,25.8374,99.0775256,99.0775256,9.4258,0.111,6.5114641086,3400,35.12,25.3929387434,2964.2339250086,3.3495956726,1.9100934118,4.0534848974,1.9041,64.5548909137,30.0697590833,17.94766578,0.465801408,0.596867628,9.7664450106,41.6314641086,35.1899671724,3.2862,1.7373082919,25.6498472932,2874.6002097464,2574.6002097464
729,171.544018,41.751,35.2541,6.4969,2891.1389,25.8374,96.2199648,96.2199648,9.5493,0.115,6.5189269608,3400,35.12,25.3929387434,2964.2339250086,3.3495956726,1.9100934118,4.0534848974,1.8428,67.5006475397,29.1314947003,17.59745004,0.4315735591,0.6040695893,9.759743243,41.6389269608,35.1953717765,3.2862,1.7327448703,25.6424321354,2871.5159331755,2571.5159331755
