,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),eff (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM)
1762,379.694893,41.3985,35.6,5.7985,2803.2619,25.4805,86.7056392,86.7056392,9.3573,0.117,6.5703707583,2830.3710092556,35.12,26.9492124986,2927.803236029,2.370593615,1.7853990126,1.578,1.6387,58.8273089665,25.4530386013,15.33380751,0.4326738559,0.6024352436,0.2606579798,10.1774330805,41.6903707583,35.7797239505,1.578,1.66134111,25.94443586,2851.9345742802
1763,379.914893,41.2524,35.6018,5.6506,2802.5002,25.4805,83.7688312,83.7688312,9.3817,0.113,6.4537409838,2830.3710092556,35.12,26.9492124986,2927.803236029,2.5446270431,1.7741710142,1.578,1.5757,57.1880138188,24.5842365269,14.78274469,0.4298844266,0.6013098952,0.2584937595,10.0988755398,41.5737409838,35.6711104262,1.578,1.678005776,25.9600435606,2827.751059317
1764,380.134893,41.3135,35.727,5.5865,2802.5002,25.4922,87.675252,87.675252,9.0062,0.113,6.3358744908,2830.3710092556,35.12,26.9492124986,2927.803236029,2.5446270431,1.7741710142,1.6165,1.6595,56.5034748063,25.7306817087,14.9457889,0.4553822893,0.5808547581,0.2645109695,10.0121880301,41.4558744908,35.5827348428,1.6165,1.6935311075,25.9738277106,2800.6795396587
1765,380.354893,41.6502,35.8908,5.7594,2758.8625,25.4922,89.9454512,89.9454512,9.0113,0.114,6.238147642,2830.3710092556,35.12,27.1188322892,2920.9616485887,2.5446270431,1.7741710142,1.8434,1.7082,58.4207451024,25.9859069048,15.39310266,0.4448061533,0.592363496,0.263486928,9.92003604,41.358147642,35.536723418,1.8434,1.70693052,25.9856081037,2789.6807027316
1766,380.574893,41.7528,36.0582,5.6946,2758.8625,25.6026,89.166964,89.166964,8.9705,0.111,6.1782037348,2830.3710092556,35.12,27.1188322892,2920.9616485887,2.5446270431,1.7741710142,2.0576,1.6915,57.9520775296,25.760996188,15.17360075,0.4445223931,0.5890145179,0.2618301431,9.8252796907,41.2982037348,35.5407489911,2.0576,1.7176492977,25.9951986477,2790.0535674811
1767,380.794893,41.6318,35.8535,5.7783,2748.3295,25.6026,84.738444,84.738444,8.9724,0.117,6.1689698287,2830.3710092556,35.12,27.1188322892,2920.9616485887,2.5446270431,1.7741710142,2.2469,1.5965,58.8842377435,24.3880963459,14.3244366,0.414170197,0.587353617,0.2432643632,9.7303061891,41.2889698287,35.591407779,2.2469,1.7257420509,26.0024175243,2780.1667148661
1768,381.014893,41.5194,35.639,5.8804,2748.3295,25.4452,89.889512,89.889512,9.0729,0.109,6.2150953436,2830.3710092556,35.12,27.3881255963,2912.6602587431,2.6495076348,1.73729946,2.3278,1.707,59.6523174462,25.8705963393,15.4874403,0.4336897114,0.5986503016,0.2596284765,9.636885013,41.3350953436,35.6768994936,2.3278,1.7317888157,26.0070983252,2757.9470878597
1769,381.234893,41.4846,35.7331,5.7515,2745.1481,25.4452,87.2510464,87.2510464,8.9252,0.119,6.3050810919,2830.3710092556,35.12,27.3881255963,2912.6602587431,2.6495076348,1.73729946,2.3278,1.6504,58.2255939299,25.082166192,14.73015008,0.4307756177,0.5872758344,0.2529841104,9.5465872625,41.4250810919,35.7752673282,2.3278,1.736558512,26.0091002042,2742.6392730728
1770,381.454893,41.4198,35.724,5.6958,2745.1481,25.6716,85.4097144,85.4097144,8.8657,0.114,6.4090848857,2830.3710092556,35.12,27.3881255963,2912.6602587431,2.6495076348,1.73729946,2.3278,1.6109,58.1216609477,24.5528362052,14.28175613,0.4224386538,0.5816743944,0.2457217481,9.4612147443,41.5290848857,35.8562858824,2.3278,1.7407075492,26.0083151715,2742.9634229595
1771,381.674893,41.5683,35.7564,5.8119,2733.9775,25.6716,89.6051544,89.6051544,8.9642,0.117,6.4900623589,2830.3710092556,35.12,27.5169692898,2900.1562001872,2.6495076348,1.73729946,2.3278,1.7009,59.418142049,25.6540859884,15.24720778,0.4317551021,0.5943383751,0.2566086258,9.3827642167,41.6100623589,35.8937257395,2.3278,1.7446310742,26.0046734831,2747.702642267
1772,381.894893,41.5518,35.8926,5.6592,2733.9775,25.8884,90.2344704,90.2344704,8.9695,0.112,6.5222299656,2830.3710092556,35.12,27.5169692898,2900.1562001872,2.6495076348,1.73729946,2.3278,1.7144,58.2003445198,25.8342600742,15.3773108,0.4438850025,0.5952293875,0.2642133982,9.3130489111,41.6422299656,35.8800438971,2.3278,1.7484420372,25.9981497822,2745.4737675095
1773,382.114893,41.6728,36.0716,5.6012,2740.6689,25.8884,86.0623384,86.0623384,8.9218,0.117,6.5039700343,2830.3710092556,35.12,27.5169692898,2900.1562001872,2.8220231717,1.7005873774,2.3278,1.6249,57.5471925554,24.7000783704,14.49703282,0.429214307,0.5869225434,0.2519155527,9.2534441946,41.6239700343,35.8312013238,2.3278,1.7521047178,25.9887708595,2737.796304474
1774,382.334893,41.5775,35.8358,5.7417,2740.6689,25.9485,88.0341952,88.0341952,9.0431,0.11,6.4567481646,2830.3710092556,35.12,27.5544566158,2885.7000229169,2.8220231717,1.7005873774,2.3726,1.6672,59.2666659591,25.2660055623,15.07665632,0.4263105601,0.5967170506,0.2543867801,9.2048648082,41.5767481646,35.7789149195,2.3726,1.7555941759,25.976623638,2733.2463853079
