,Unnamed: 0,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),GV (deg),DP (psi)
47,47,639.747,39.31690909090909,27.661840909090916,134.02405756363635,14.532077272727275,2.6537681818181817,4028.645454545455,25.57514090909091,6.493799999999999,11.655068181818185
48,48,649.202,39.21322272727272,27.64995909090909,138.70176127272728,13.937936363636362,2.7541136363636367,3930.230313636363,25.90719545454545,6.493799999999999,11.563263636363635
49,49,658.416,39.199672727272734,27.67847272727273,143.0554837818182,13.399595454545453,2.8475090909090914,3839.8702454545455,25.94875454545455,6.493799999999999,11.5212
50,50,665.363,39.19049999999999,27.707431818181814,142.62322632727273,13.38112727272727,2.8382363636363634,3836.4362454545453,25.89747727272727,6.493799999999999,11.48306818181818
51,51,673.801,39.133722727272726,27.73275909090909,147.20875749090908,12.75066363636364,2.936604545454545,3734.671081818182,25.97962272727273,6.493799999999999,11.400963636363635
52,52,683.765,39.05893636363636,27.74875,152.13458545454543,12.105777272727272,3.042272727272727,3614.317068181818,25.96492727272728,6.493799999999999,11.310186363636362
53,53,692.2260000000001,39.03504545454546,27.83871363636364,156.86102407272728,11.430190909090907,3.143663636363636,3497.324877272727,25.97555,6.493799999999999,11.196331818181818
54,54,702.671,38.96108636363636,27.91439545454545,161.53893967272728,10.753263636363638,3.2440136363636363,3382.2198681818177,25.65966363636364,6.493799999999999,11.04669090909091
55,55,713.09,38.87671818181818,27.927354545454545,166.80781901818182,10.091177272727274,3.357040909090909,3267.4387409090914,25.608004545454545,6.493799999999999,10.949363636363637
56,56,732.196,39.4682,27.62200909090909,125.9412669454545,15.656209090909085,2.4803772727272717,4224.363986363636,25.56085909090909,6.493799999999999,11.84619090909091
57,57,741.6239999999999,39.517677272727276,27.590754545454544,121.32501160000001,16.256122727272725,2.3813500000000003,4325.451559090909,25.598177272727273,6.493799999999999,11.926922727272727
58,58,753.5360000000001,39.52572272727272,27.486968181818174,117.23975487272727,16.847595454545456,2.2937136363636363,4427.7854954545455,25.57219090909091,6.493799999999999,12.038754545454545
59,59,761.992,39.6095,27.484254545454544,113.31362821818183,17.368395454545453,2.2094909090909094,4513.729545454546,25.531550000000006,6.493799999999999,12.125245454545455
60,60,771.439,39.72868636363636,27.506709090909094,108.08818650909092,17.929768181818176,2.0973954545454547,4608.8440045454545,25.492413636363636,6.493799999999999,12.22197727272727
61,61,783.107,39.76446363636364,27.43936818181819,104.59113894545453,18.46754545454546,2.0223772727272724,4701.176604545454,25.39604090909091,6.493799999999999,12.325095454545455
62,62,793.2689999999999,39.847590909090904,27.429318181818186,99.88482996363636,19.05805454545455,1.921418181818182,4799.529504545455,25.513531818181814,6.493799999999999,12.418272727272727
63,63,801.707,39.92799999999999,27.39461818181818,95.54085443636365,19.685295454545454,1.8282318181818185,4903.828872727273,25.42420909090909,6.493799999999999,12.53338181818182
64,64,830.2560000000001,40.83863636363637,26.721286363636366,139.49423327272729,16.033895454545455,2.7711136363636366,4375.922177272727,25.15884090909091,7.493099999999999,14.117349999999998
65,65,839.683,40.76432272727273,26.78477272727273,142.80735952727275,15.538659090909094,2.842186363636364,4291.252322727271,25.19275,7.493099999999999,13.97955
66,66,848.8710000000001,40.64075,26.782468181818185,147.52256792727275,14.919313636363635,2.943336363636364,4191.8959863636355,25.26431818181818,7.493099999999999,13.858281818181815
67,67,859.0269999999999,40.61086818181817,26.85379545454546,152.42932570909093,14.31635,3.0485954545454548,4087.537850000001,25.34210000000001,7.493099999999999,13.75707272727273
68,68,869.705,40.53128636363636,26.93720909090909,157.48059309090914,13.697399999999998,3.1569545454545462,3982.6721999999986,25.253436363636364,7.493099999999999,13.594077272727274
69,69,878.1669999999999,40.404,26.935604545454545,161.80486276363638,13.072618181818182,3.249718181818182,3882.218359090911,25.219004545454546,7.493099999999999,13.468395454545455
70,70,888.0830000000001,40.35881818181819,27.00165909090909,166.18210516363632,12.432045454545452,3.343618181818181,3773.4850818181817,25.35818636363636,7.493099999999999,13.35715909090909
71,71,896.763,40.20914545454546,26.96594090909091,170.45043563636364,11.85681818181818,3.4351818181818183,3675.7681590909096,25.51888636363637,7.493099999999999,13.243204545454544
72,72,903.954,40.16705909090909,27.08509090909091,175.7932649090909,11.236590909090907,3.549795454545454,3564.5289,25.30682727272728,7.493099999999999,13.081968181818182
73,73,923.346,40.92662727272727,26.73248636363637,134.95086840000002,16.58185,2.6736500000000003,4472.427186363637,25.10566363636364,7.493099999999999,14.194140909090908
74,74,932.7760000000001,40.98985,26.69274090909091,131.1550546545455,17.107699999999998,2.5922227272727283,4560.33940909091,25.04451363636364,7.493099999999999,14.297109090909087
75,75,941.457,41.0394590909091,26.651918181818186,125.47298803636366,17.64359545454545,2.4703318181818186,4645.487040909091,25.02894545454545,7.493099999999999,14.387540909090907
76,76,950.915,41.09053636363637,26.57356363636364,121.73226592727272,18.185263636363636,2.3900863636363634,4738.554236363635,25.08675454545454,7.493099999999999,14.516972727272725
77,77,960.635,41.20712727272728,26.57430454545454,117.52432436363632,18.71055909090909,2.299818181818181,4825.926672727273,25.048113636363638,7.493099999999999,14.63282272727273
78,78,969.809,41.26167727272728,26.515281818181826,113.63612618181817,19.16855,2.2164090909090906,4899.29170909091,24.99943636363637,7.493099999999999,14.746395454545455
79,79,979.0039999999999,41.34246818181817,26.49114545454545,109.00164821818183,19.702868181818182,2.116990909090909,4992.504913636364,25.050790909090907,7.493099999999999,14.851322727272727
80,80,988.195,41.372840909090904,26.44059545454546,104.52396952727274,20.23444545454545,2.020936363636364,5077.186713636363,25.208836363636365,7.493099999999999,14.932245454545455
81,81,1026.2819,42.61874545454546,25.636999999999997,147.7456890545455,16.73601818181818,2.948122727272728,4578.252909090908,24.53844545454545,8.492400000000002,16.981745454545454
82,82,1037.5179,42.55016363636364,25.675054545454547,153.2785844727273,16.14251363636364,3.0668136363636367,4480.390081818182,24.600518181818185,8.492400000000002,16.875109090909092
83,83,1045.2449,42.42315454545454,25.680190909090904,157.81220236363637,15.56645909090909,3.1640681818181817,4381.324409090908,24.700781818181817,8.492400000000002,16.742963636363633
84,84,1054.4909,42.371890476190465,25.73409047619048,162.2748368,14.974638095238092,3.2598,4288.666028571428,24.76922857142857,8.4924,16.637800000000002
85,85,1062.737,42.304590909090905,25.75698636363637,167.65707778181815,14.39597727272727,3.3752590909090903,4191.22635909091,24.85964545454545,8.492400000000002,16.547604545454544
86,86,1072.9589,42.27274545454546,25.825654545454544,171.38127240000003,13.857081818181818,3.4551500000000006,4100.324695454546,24.83387272727273,8.492400000000002,16.44709090909091
87,87,1080.953,42.22450952380952,25.833014285714285,175.50578948571427,13.305480952380952,3.543628571428571,4008.490576190476,24.554419047619053,8.4924,16.391495238095242
88,88,1098.973,42.68887142857143,25.617523809523806,144.15830533333332,17.294638095238092,2.8711666666666664,4673.715366666666,24.456233333333333,8.4924,17.071347619047618
89,89,1108.004,42.75431904761905,25.566795238095242,140.15243706666664,17.766976190476186,2.785233333333333,4755.670742857144,24.537280952380954,8.4924,17.18752380952381
90,90,1117.0009,42.85100454545454,25.56796363636364,134.84428727272726,18.306027272727274,2.6713636363636364,4844.514731818183,24.46267272727273,8.492400000000002,17.283040909090914
91,91,1127.2309,42.91333181818182,25.503100000000003,130.82937832727274,18.817881818181817,2.585236363636364,4930.679304545453,24.598136363636364,8.492400000000002,17.41023181818182
92,92,1135.9689,43.00009545454546,25.464781818181823,126.35085207272724,19.34036363636364,2.4891636363636356,5012.888818181818,24.65354545454545,8.492400000000002,17.53531363636364
93,93,1147.1979,43.03639545454546,25.380318181818186,121.83588058181816,19.81462727272727,2.3923090909090905,5094.361468181818,24.64470909090909,8.492400000000002,17.656077272727273
94,94,1155.4449,43.09960454545456,25.33473181818182,117.04990061818182,20.33186363636364,2.289640909090909,5171.515959090909,24.71083636363636,8.492400000000002,17.76487272727273
95,95,1164.9379,43.20417727272727,25.31551363636364,113.67469032727271,20.72690454545454,2.2172363636363634,5237.170963636363,24.691418181818186,8.492400000000002,17.88866363636364
