,Unnamed: 0,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),GV (deg),DP (psi),
55,55,1800.682,42.3961727273,28.67315,109.2925744364,19.6196681818,2.1232318182,4927.1560954546,25.9001409091,6.4942,13.7230227273,41.6571037458
56,56,1814.159,42.4363318182,28.6350954545,105.4189967273,20.1404954545,2.0401363636,5015.3328954546,25.8704954545,6.4942,13.8012363636,41.0893571585
57,57,1949.087,43.5425681818,27.9170954545,144.0907827636,17.2499772727,2.8697181818,4621.9937545455,25.5556090909,7.4935,15.6254727273,49.5025734155
58,58,1959.316,43.4417590909,27.9191227273,148.8220948727,16.6682272727,2.9712136364,4527.2076818182,25.6192681818,7.4935,15.5226363636,49.5248641667
59,59,1972.035,43.3755047619,27.9620666667,153.3940448381,16.1178190476,3.0692904762,4441.7329428572,25.6597904762,7.4935,15.4134380952,49.4702684998
60,60,1984.7719,43.3084363636,28.0130045455,157.6445966545,15.5097454545,3.1604727273,4336.6377545455,25.7714409091,7.4935,15.2954318182,49.018127516
61,61,1995.2619,43.2291380952,28.0403047619,161.776267581,14.9355142857,3.2491047619,4245.4201142857,25.7906428571,7.4935,15.1888333333,48.5270505872
62,62,2006.775,43.2452954545,28.1958681818,167.3184761091,14.33845,3.3679954545,4145.6819136364,25.77145,7.4935,15.0494272727,48.2918344252
63,63,2022.4969,43.0746454545,28.1584590909,171.0115227636,13.7471,3.4472181818,4045.5727,25.7298090909,7.4935,14.9161863636,47.3892530673
64,64,2032.9909,42.99715,28.1974318182,175.4148277455,13.1338181818,3.5416772727,3946.06995,26.0781727273,7.4935,14.7997181818,46.5157453587
65,65,2062.4689,43.6381666667,27.8697857143,139.5315563429,17.762352381,2.7719142857,4722.1396142857,25.5504761905,7.4935,15.7683809524,49.2357183127
66,66,2072,43.6791545455,27.8132727273,135.5157695636,18.2720181818,2.6857681818,4802.9990681818,25.4469090909,7.4935,15.8658818182,49.0744050503
67,67,2080.238,43.7851909091,27.7834272727,131.8795096727,18.7826545455,2.6077636364,4890.4811454546,25.4344409091,7.4935,16.0017636364,48.980723518
68,68,2089.9619,43.8207727273,27.7210136364,126.4394224727,19.2988818182,2.4910636364,4974.4458727273,25.4628318182,7.4935,16.0997590909,48.0747427198
69,69,2104.1608,43.9547454545,27.7108681818,122.3778975273,19.8334818182,2.4039363636,5059.8717454546,25.3896772727,7.4935,16.2438772727,47.6784281602
70,70,2173.7858,45.7441727273,26.5678818182,148.0130953818,18.4364227273,2.9538590909,4914.9709090909,24.9007590909,8.4927,19.1762909091,54.4585948768
71,71,2184.7749,45.6149954545,26.5566772727,153.5629420727,17.8722772727,3.0729136364,4824.3441954546,24.9044363636,8.4927,19.0583181818,54.9199645442
72,72,2196.2409,45.5259136364,26.5787590909,158.1101209818,17.3159863636,3.1704590909,4734.8572590909,24.9443954545,8.4927,18.9471545455,54.8996263846
73,73,2204.725,45.4823181818,26.6633636364,163.1079918545,16.7473545455,3.2776727273,4638.5923909091,24.8578454545,8.4927,18.8189545455,54.8923472476
74,74,2215.9519,45.4106545455,26.6490863636,167.4657402909,16.209,3.3711545455,4549.3796818182,25.0083318182,8.4927,18.7615681818,54.6430440273
75,75,2225.664,45.3563,26.6945681818,171.8658669091,15.6874363636,3.4655454545,4469.7159636364,25.1258272727,8.4927,18.6617318182,54.3655237835
76,76,2235.6201,45.2957181818,26.7163227273,176.4153766182,15.1499545455,3.5631409091,4379.7363636364,25.1120409091,8.4927,18.5793954545,53.9814228118
77,77,2256.05,45.74205,26.4907681818,144.7027237091,18.94215,2.8828454545,5001.7175545455,24.9460227273,8.4927,19.2512818182,54.6072910268
78,78,2264.5319,45.8852818182,26.48985,140.4483780364,19.4591045455,2.7915818182,5085.58315,25.0335454545,8.4927,19.3954318182,54.3216824472
79,79,2273.7661,45.8960590909,26.38915,135.6793493455,19.9613363636,2.6892772727,5170.2378272727,25.0220227273,8.4927,19.5069090909,53.681568216
80,80,2283.2299,45.9861227273,26.3716,131.1635302909,20.4588181818,2.5924045455,5251.8434,24.9950318182,8.4927,19.6145227273,53.0375332492
81,81,2302.1589,46.0376272727,26.30005,126.4610353455,20.9602136364,2.4915272727,5333.3229363636,25.0924727273,8.4927,19.7375772727,52.2229439172
82,82,2322.3449,46.0993545455,26.22215,122.1329516364,21.4839,2.3986818182,5419.6623090909,25.0718818182,8.4927,19.8772045455,51.5330403136
