,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi),GV
1411,911.196,38.8634,28.5869,119.1528,15.3723,2.6481,4364.0595,27.769,10.2765,10.95
1412,912.359,38.8728,28.5752,127.7906,15.0417,2.6826,4127.3041,27.4949,10.2976,10.95
1413,913.528,38.8127,28.4783,128.3718,14.8922,2.6782,4155.5087,26.7794,10.3344,10.95
1414,914.701,38.878,28.6786,126.5298,14.8135,2.6751,4405.5019,27.9146,10.1994,10.95
1415,915.865,38.7015,28.4629,128.7404,14.8342,2.6757,4275.3315,27.0675,10.2386,10.95
1416,917.036,39.1062,28.5752,128.6934,14.6748,2.6857,4100.601,27.6218,10.531,10.95
1417,918.21,38.8543,28.5752,122.2918,14.7143,2.6788,4118.0507,26.3224,10.2791,10.95
1418,919.39,38.9785,28.7502,125.6175,14.804,2.666,4256.728,28.0078,10.2283,10.95
1419,920.561,38.6571,28.4431,122.5836,14.9292,2.6777,4051.4992,27.2311,10.214,10.95
1420,921.741,39.0121,28.7172,129.3493,14.7985,2.7085,4142.6923,27.6795,10.2949,10.95
1421,922.918,38.8196,28.8992,127.8332,14.1464,2.7753,4116.5439,27.4607,9.9204,10.95
1422,924.097,38.8333,28.8229,129.6057,14.1359,2.7806,4008.3732,27.1622,10.0104,10.95
1423,925.283,38.7712,28.7271,128.7194,14.2257,2.7818,4020.3698,27.952,10.0441,10.95
1424,926.466,38.9739,28.8295,133.0744,14.0837,2.7798,4325.0517,26.8582,10.1444,10.95
1425,927.647,38.8126,28.4783,131.2173,14.1941,2.7757,4108.6508,26.803,10.3343,10.95
1426,928.834,38.8882,28.6578,130.9289,14.199,2.7756,4214.6669,27.4215,10.2304,10.95
1427,930.018,38.683,28.6809,129.1643,14.1293,2.7731,4200.3081,26.7588,10.0021,10.95
1428,931.207,38.9339,28.8427,131.6214,14.1671,2.8118,4082.9287,27.0404,10.0912,10.95
1429,932.398,38.8185,28.813,131.8214,13.5282,2.8767,3920.0312,27.6166,10.0055,10.95
1430,933.592,38.783,28.6616,136.6178,13.5339,2.8729,4127.6831,26.9078,10.1214,10.95
1431,934.785,38.6957,28.6243,137.0349,13.4908,2.8867,3932.5351,27.1662,10.0714,10.95
1432,935.982,38.7052,28.6479,131.5868,13.5152,2.8625,3977.9003,27.7542,10.0573,10.95
1433,937.177,38.8877,28.9399,135.6794,13.49,2.8714,3951.1811,28.1863,9.9478,10.95
1434,938.373,38.7202,28.9715,134.7124,13.3491,2.8732,3876.4699,26.7352,9.7487,10.95
1435,939.577,38.6249,28.7567,136.6178,13.4853,2.8786,3863.6557,28.0046,9.8682,10.95
1436,940.778,38.8473,28.8958,135.2362,13.6679,2.8742,3972.9836,26.3376,9.9515,10.95
1437,941.983,38.8755,28.6809,131.6001,13.4192,2.8976,3930.3024,28.0962,10.1946,10.95
1438,943.183,38.7764,28.9362,135.549,13.0334,2.9694,3995.5605,26.9068,9.8402,10.95
1439,944.389,38.6608,28.8922,138.2079,12.9294,2.9735,3785.0114,28.0121,9.7686,10.95
1440,945.596,38.7988,28.9616,141.0231,12.8687,2.9589,3970.53,26.7833,9.8372,10.95
1441,946.805,38.7321,28.7106,139.3887,12.9106,2.9804,3977.9003,27.1359,10.0215,10.95
1442,948.014,38.783,28.923,136.3571,12.7531,2.9708,3927.9011,27.4277,9.86,10.95
1443,949.224,38.8682,28.6446,136.7742,12.7841,2.9697,3877.3049,26.5224,10.2236,10.95
1444,950.439,38.43,28.7205,138.5961,12.9208,2.9666,3756.1035,27.0184,9.7095,10.95
1445,951.657,38.6573,28.5021,138.9899,12.6481,2.9731,3792.1882,27.4442,10.1552,10.95
1446,952.872,38.8186,28.8427,135.4187,12.7384,2.9639,3992.5473,26.9416,9.9759,10.95
1447,954.087,38.7302,28.9535,137.9472,12.6152,2.9696,3904.894,26.369,9.7767,10.95
1448,955.308,38.7481,28.9026,136.4614,12.7531,2.975,4065.5913,28.0035,9.8455,10.95
1449,956.519,38.82,28.8328,134.7149,12.8493,2.9679,3868.8041,26.8405,9.9872,10.95
1450,957.741,38.5002,28.6247,138.464,12.8815,2.9705,3949.7937,28.0078,9.8755,10.95
1451,958.957,38.6113,28.4464,134.7806,12.9476,2.9691,3934.426,26.8652,10.1649,10.95
1452,960.179,38.7143,28.6247,139.098,12.8429,3.0026,3787.7192,26.5022,10.0896,10.95
1453,961.408,38.8719,28.8347,139.3288,12.0816,3.0719,3772.9521,26.7764,10.0372,10.95
1454,962.636,38.7712,28.7887,141.0753,12.3374,3.0637,3737.2312,26.881,9.9825,10.95
1455,963.867,38.6084,28.8823,139.4494,12.3311,3.078,3781.6716,27.1673,9.7261,10.95
1456,965.097,38.7457,29.0045,140.7885,12.0879,3.0731,3804.6923,26.458,9.7412,10.95
1457,966.331,38.7219,28.78,140.3193,12.1041,3.0776,3907.9462,27.6679,9.9419,10.95
1458,967.559,38.8577,28.7304,142.1891,12.2485,3.0657,3825.5546,27.7955,10.1273,10.95
1459,968.788,38.6901,28.8625,144.9853,12.2003,3.0733,3731.1887,27.4493,9.8276,10.95
